LexToken(PROGRAM,'program',1,0)
LexToken(SHENASE,'#ex444',1,8)
LexToken(INT,'int',2,19)
LexToken(SHENASE,'#im120',2,23)
LexToken(ASSIGNMENT_SIGN,':=',2,30)
LexToken(ADADSABET,'1',2,33)
LexToken(SEMICOLON,';',2,34)
LexToken(INT,'int',3,40)
LexToken(SHENASE,'#jc230',3,44)
LexToken(ASSIGNMENT_SIGN,':=',3,51)
LexToken(ADADSABET,'2',3,54)
LexToken(SEMICOLON,';',3,55)
LexToken(INT,'int',4,61)
LexToken(SHENASE,'#kf222',4,65)
LexToken(ASSIGNMENT_SIGN,':=',4,72)
LexToken(ADADSABET,'3',4,75)
LexToken(SEMICOLON,';',4,76)
LexToken(FLOAT,'float',5,82)
LexToken(SHENASE,'#rp234',5,88)
LexToken(ASSIGNMENT_SIGN,':=',5,95)
LexToken(REALCONST,'1.1',5,98)
LexToken(SEMICOLON,';',5,101)
LexToken(BOOLEAN,'boolean',6,107)
LexToken(SHENASE,'#bb212',6,115)
LexToken(ASSIGNMENT_SIGN,':=',6,122)
LexToken(SEMICOLON,';',6,129)
LexToken(INT,'int',7,135)
LexToken(SHENASE,'#ar111',7,139)
LexToken(LBRACK,'[',7,145)
LexToken(ADADSABET,'2',7,146)
LexToken(RBRACK,']',7,147)
LexToken(ASSIGNMENT_SIGN,':=',7,149)
LexToken(LBRACE,'{',7,152)
LexToken(ADADSABET,'1',7,153)
LexToken(COMMA,',',7,154)
LexToken(ADADSABET,'7',7,156)
LexToken(RBRACE,'}',7,157)
LexToken(SEMICOLON,';',7,158)
LexToken(CHAR,'char',8,164)
LexToken(SHENASE,'#ch212',8,169)
LexToken(LBRACK,'[',8,175)
LexToken(SHENASE,'#im120',8,176)
LexToken(DOUBLE_DOT,'..',8,182)
LexToken(SHENASE,'#jc230',8,184)
LexToken(RBRACK,']',8,190)
LexToken(ASSIGNMENT_SIGN,':=',8,192)
LexToken(LBRACE,'{',8,195)
LexToken(HARF,"'c'",8,196)
LexToken(RBRACE,'}',8,199)
LexToken(SEMICOLON,';',8,200)
LexToken(RAVIE,'ravie',9,206)
LexToken(SHENASE,'#fu555',9,212)
LexToken(LPAR,'(',9,219)
LexToken(INT,'int',9,220)
LexToken(SHENASE,'#in111',9,224)
LexToken(SEMICOLON,';',9,230)
LexToken(BOOLEAN,'boolean',9,232)
LexToken(SHENASE,'#wh121',9,240)
LexToken(SEMICOLON,';',9,246)
LexToken(RPAR,')',9,247)
LexToken(LBRACE,'{',9,249)
LexToken(INT,'int',10,259)
LexToken(SHENASE,'#mi111',10,263)
LexToken(ASSIGNMENT_SIGN,':=',10,270)
LexToken(ADADSABET,'2',10,273)
LexToken(SEMICOLON,';',10,274)
LexToken(INT,'int',11,284)
LexToken(SHENASE,'#cd232',11,288)
LexToken(ASSIGNMENT_SIGN,':=',11,295)
LexToken(LPAR,'(',11,298)
LexToken(SHENASE,'#in111',11,299)
LexToken(COMMA,',',11,305)
LexToken(ADADSABET,'3',11,307)
LexToken(RPAR,')',11,308)
LexToken(PLUS,'+',11,310)
LexToken(SEMICOLON,';',11,311)
LexToken(LBRACE,'{',12,321)
LexToken(AGAR,'agar',13,335)
LexToken(LPAR,'(',13,340)
LexToken(LPAR,'(',13,341)
LexToken(SHENASE,'#wh121',13,342)
LexToken(COMMA,',',13,348)
LexToken(RPAR,')',13,354)
LexToken(VA,'va',13,355)
LexToken(ANGAH,'angah',13,358)
LexToken(RPAR,')',13,363)
LexToken(ANGAH,'angah',13,365)
LexToken(BAZGASHT,'bazgasht',13,371)
LexToken(LPAR,'(',14,392)
LexToken(SHENASE,'#cd232',14,393)
LexToken(COMMA,',',14,399)
LexToken(SHENASE,'#mi111',14,400)
LexToken(RPAR,')',14,406)
LexToken(PLUS,'+',14,407)
LexToken(SEMICOLON,';',14,408)
LexToken(VAGARNA,'vagarna',15,422)
LexToken(BAZGASHT,'bazgasht',15,430)
LexToken(LPAR,'(',15,439)
LexToken(SHENASE,'#cd232',15,440)
LexToken(COMMA,',',15,446)
LexToken(SHENASE,'#mi111',15,448)
LexToken(RPAR,')',15,454)
LexToken(MINUS,'-',15,455)
LexToken(SEMICOLON,';',15,456)
LexToken(RBRACE,'}',16,466)
LexToken(RBRACE,'}',17,472)
LexToken(SEMICOLON,';',17,473)
LexToken(RAVIE,'ravie',18,479)
LexToken(SHENASE,'#ab445',18,485)
LexToken(LPAR,'(',18,492)
LexToken(INT,'int',18,493)
LexToken(SHENASE,'#in222',18,497)
LexToken(SEMICOLON,';',18,503)
LexToken(RPAR,')',18,504)
LexToken(LBRACE,'{',18,506)
LexToken(LBRACE,'{',19,516)
LexToken(AGAR,'agar',20,530)
LexToken(LPAR,'(',20,535)
LexToken(SHENASE,'#in222',20,536)
LexToken(COMMA,',',20,542)
LexToken(ADADSABET,'0',20,544)
LexToken(RPAR,')',20,545)
LexToken(GT,'>',20,546)
LexToken(ANGAH,'angah',20,548)
LexToken(BAZGASHT,'bazgasht',20,554)
LexToken(SHENASE,'#in222',20,563)
LexToken(SEMICOLON,';',20,569)
LexToken(VAGARNA,'vagarna',21,583)
LexToken(BAZGASHT,'bazgasht',21,591)
LexToken(LPAR,'(',21,600)
LexToken(MINUS,'-',21,601)
LexToken(ADADSABET,'1',21,602)
LexToken(COMMA,',',21,603)
LexToken(SHENASE,'#in222',21,605)
LexToken(RPAR,')',21,611)
LexToken(MULT,'*',21,612)
LexToken(SEMICOLON,';',21,613)
LexToken(RBRACE,'}',22,623)
LexToken(RBRACE,'}',23,629)
LexToken(MAIN,'main',24,631)
LexToken(LBRACE,'{',24,636)
LexToken(SHENASE,'#rp234',25,642)
LexToken(ASSIGNMENT_SIGN,':=',25,649)
LexToken(LPAR,'(',25,652)
LexToken(LPAR,'(',25,653)
LexToken(LPAR,'(',25,654)
LexToken(ADADSABET,'2',25,655)
LexToken(COMMA,',',25,656)
LexToken(SHENASE,'#rp234',25,658)
LexToken(RPAR,')',25,664)
LexToken(MULT,'*',25,665)
LexToken(RPAR,')',25,666)
LexToken(COMMA,',',25,667)
LexToken(LPAR,'(',25,668)
LexToken(ADADSABET,'3',25,669)
LexToken(COMMA,',',25,670)
LexToken(SHENASE,'#rp234',25,671)
LexToken(RPAR,')',25,677)
LexToken(MINUS,'-',25,678)
LexToken(RPAR,')',25,679)
LexToken(COMMA,',',25,680)
LexToken(ADADSABET,'4',25,681)
LexToken(RPAR,')',25,682)
LexToken(MOD,'%',25,683)
LexToken(SEMICOLON,';',25,684)
LexToken(DO,'do',26,690)
LexToken(LBRACE,'{',26,693)
LexToken(SHENASE,'#im120',27,703)
LexToken(ASSIGNMENT_SIGN,':=',27,710)
LexToken(SHENASE,'#ab445',27,713)
LexToken(LPAR,'(',27,719)
LexToken(LPAR,'(',27,720)
LexToken(SHENASE,'#im120',27,721)
LexToken(COMMA,',',27,727)
LexToken(SHENASE,'#kf222',27,729)
LexToken(RPAR,')',27,735)
LexToken(MINUS,'-',27,736)
LexToken(RPAR,')',27,737)
LexToken(SEMICOLON,';',27,738)
LexToken(EXIT,'exit',28,748)
LexToken(WHEN,'when',28,753)
LexToken(LPAR,'(',28,758)
LexToken(LPAR,'(',28,759)
LexToken(SHENASE,'#ar111',28,760)
LexToken(LBRACK,'[',28,766)
LexToken(ADADSABET,'2',28,767)
LexToken(RBRACK,']',28,768)
LexToken(COMMA,',',28,769)
LexToken(ADADSABET,'0',28,771)
LexToken(RPAR,')',28,772)
LexToken(GT,'>',28,773)
LexToken(RPAR,')',28,774)
LexToken(NAGHIZ,'naghiz',28,775)
LexToken(GOZINESH,'gozinesh',29,790)
LexToken(SHENASE,'#im120',29,799)
LexToken(MORED,'mored',30,818)
LexToken(ADADSABET,'0',30,824)
LexToken(COLON,':',30,825)
LexToken(LBRACE,'{',30,827)
LexToken(SHENASE,'#im120',30,828)
LexToken(ASSIGNMENT_SIGN,':=',30,834)
